"","rules","support","confidence","lift","count"
"1","{I4} => {I1}",0.111111111111111,0.5,0.75,1
"2","{I4} => {I2}",0.222222222222222,1,1.28571428571429,2
"3","{I5} => {I3}",0.111111111111111,0.5,0.75,1
"4","{I5} => {I1}",0.222222222222222,1,1.5,2
"5","{I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"6","{I3} => {I1}",0.444444444444444,0.666666666666667,1,4
"7","{I1} => {I3}",0.444444444444444,0.666666666666667,1,4
"8","{I3} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"9","{I2} => {I3}",0.444444444444444,0.571428571428571,0.857142857142857,4
"10","{I1} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"11","{I2} => {I1}",0.444444444444444,0.571428571428571,0.857142857142857,4
"12","{I1,I4} => {I2}",0.111111111111111,1,1.28571428571429,1
"13","{I2,I4} => {I1}",0.111111111111111,0.5,0.75,1
"14","{I3,I5} => {I1}",0.111111111111111,1,1.5,1
"15","{I1,I5} => {I3}",0.111111111111111,0.5,0.75,1
"16","{I3,I5} => {I2}",0.111111111111111,1,1.28571428571429,1
"17","{I2,I5} => {I3}",0.111111111111111,0.5,0.75,1
"18","{I1,I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"19","{I2,I5} => {I1}",0.222222222222222,1,1.5,2
"20","{I1,I2} => {I5}",0.222222222222222,0.5,2.25,2
"21","{I1,I3} => {I2}",0.222222222222222,0.5,0.642857142857143,2
"22","{I2,I3} => {I1}",0.222222222222222,0.5,0.75,2
"23","{I1,I2} => {I3}",0.222222222222222,0.5,0.75,2
"24","{I1,I3,I5} => {I2}",0.111111111111111,1,1.28571428571429,1
"25","{I2,I3,I5} => {I1}",0.111111111111111,1,1.5,1
"26","{I1,I2,I5} => {I3}",0.111111111111111,0.5,0.75,1
"27","{I1,I2,I3} => {I5}",0.111111111111111,0.5,2.25,1
